origin,timestamp,on_tour,code
SEP0099,01/24/2014 06:29:29,,HL BBB
SEP0100,01/24/2014 06:29:53,,HFLC BK
SEP0101,01/24/2014 06:29:53,,FABNC
SEP0102,01/24/2014 06:30:12,,HFLC F
SEP0103,01/24/2014 06:30:13,,SAS
SEP0104,01/24/2014 06:30:25,,YFFLC
SEP0105,01/24/2014 06:30:37,,XBBNC
SEP0106,01/24/2014 06:30:39,,SLELC
SEP0107,01/24/2014 06:30:43,,FLBNC
SEP0108,01/24/2014 06:31:12,,HL
SEP0109,01/24/2014 06:31:18,,STEBS
SEP0110,01/24/2014 06:31:42,,HS BBD
SEP0111,01/24/2014 06:31:47,,FAADA
SEP0112,01/24/2014 06:31:59,,SLEBS
SEP0113,01/24/2014 06:32:03,,RLBDA
SEP0114,01/24/2014 06:32:05,,FABDA
SEP0115,01/24/2014 06:32:22,,FLBDA
SEP0116,01/24/2014 06:32:42,,STEBS
SEP0117,01/24/2014 06:32:50,,HL
SEP0118,01/24/2014 06:33:01,,YTT
SEP0119,01/24/2014 06:33:02,,XCCDA
SEP0120,01/24/2014 06:33:04,,FABDA
SEP0121,01/24/2014 06:33:05,,STELC
SEP0122,01/24/2014 06:33:08,,MLBDA
SEP0123,01/24/2014 06:33:26,,HFLC BD
SEP0124,01/24/2014 06:33:31,,SLELC
SEP0125,01/24/2014 06:34:02,,SAS
SEP0126,01/24/2014 06:34:16,,HL
SEP0127,01/24/2014 06:34:18,,OVP
SEP0128,01/24/2014 06:34:30,,IVP
SEP0129,01/24/2014 06:34:42,,SPX
SEP0130,01/24/2014 06:35:21,,HX
SEP0131,01/24/2014 06:35:24,,HC I
SEP0132,01/24/2014 06:35:26,,YVF
SEP0133,01/24/2014 06:35:27,,XCCXX
SEP0134,01/24/2014 06:35:41,,HB B
SEP0135,01/24/2014 06:36:02,,SAS
SEP0136,01/24/2014 06:36:29,,HX
SEP0137,01/24/2014 06:36:31,,SPX
SEP0138,01/24/2014 06:36:45,,SPS
SEP0139,01/24/2014 06:37:00,,HS BBD
SEP0140,01/24/2014 06:37:08,,HS BB
SEP0141,01/24/2014 06:37:10,,AVS SERIES
SEP0142,01/24/2014 06:37:15,,AVI CH FAZ
SEP0143,01/24/2014 06:37:17,,AVIDA FAV
SEP0144,01/24/2014 06:37:20,,AVBDA FAV
SEP0145,01/24/2014 06:37:21,,OVP
SEP0146,01/24/2014 06:37:23,,IVP
SEP0147,01/24/2014 06:37:39,,MABDA
SEP0148,01/24/2014 06:37:41,,RIIDA
SEP0149,01/24/2014 06:37:41,,FAADA
SEP0150,01/24/2014 06:37:44,,FIMDA
SEP0151,01/24/2014 06:37:49,,AVS SERIES
SEP0152,01/24/2014 06:37:49,,IVP
SEP0153,01/24/2014 06:37:53,,YTD
SEP0154,01/24/2014 06:37:55,,XDRDA
SEP0155,01/24/2014 06:37:58,,OVP
SEP0156,01/24/2014 06:37:59,,IVP
SEP0157,01/24/2014 06:38:09,,FIDDA
SEP0158,01/24/2014 06:38:11,,AVB
SEP0159,01/24/2014 06:38:36,,O
SEP0160,01/24/2014 06:39:00,,XCCQH
SEP0161,01/24/2014 06:39:01,,AVB
SEP0162,01/24/2014 06:39:08,,IVP
SEP0163,01/24/2014 06:39:13,,RABUB
SEP0164,01/24/2014 06:39:18,,AVB FAQ
SEP0165,01/24/2014 06:39:19,,OVP
SEP0166,01/24/2014 06:39:39,,O
SEP0167,01/24/2014 06:40:17,,AVZ
SEP0168,01/24/2014 06:40:22,,YSP
SEP0169,01/24/2014 06:40:26,,XHHUB
SEP0170,01/24/2014 06:40:27,,AVB
SEP0171,01/24/2014 06:40:33,,RLAUB
SEP0172,01/24/2014 06:40:34,,FAAUB
SEP0173,01/24/2014 06:40:36,,FPUUB
SEP0174,01/24/2014 06:40:37,,MPWUB
SEP0175,01/24/2014 06:40:40,,AVZ D
SEP0176,01/24/2014 06:40:45,,AVS D
SEP0177,01/24/2014 06:40:52,,MPBUB
SEP0178,01/24/2014 06:40:56,,RPHUB
SEP0179,01/24/2014 06:41:02,,FPUUB
SEP0180,01/24/2014 06:41:06,,AVS D
SEP0181,01/24/2014 06:41:10,,RLAUB
SEP0182,01/24/2014 06:41:15,,RAAUB
SEP0183,01/24/2014 06:41:17,,RPHUB
SEP0184,01/24/2014 06:41:22,,RPFUB
SEP0185,01/24/2014 06:41:24,,FPCUB
SEP0186,01/24/2014 06:41:26,,RLAUB
SEP0187,01/24/2014 06:41:31,,AVS
SEP0188,01/24/2014 06:41:36,,AVS D
SEP0189,01/24/2014 06:41:40,,FVTUB
SEP0190,01/24/2014 06:41:42,,FAAUB
SEP0191,01/24/2014 06:41:44,,FPUUB
SEP0192,01/24/2014 06:41:46,,FPWUB
SEP0193,01/24/2014 06:41:54,,FSXUB
SEP0194,01/24/2014 06:42:00,,FSEUB
SEP0195,01/24/2014 06:42:03,,RPLUB
SEP0196,01/24/2014 06:42:05,,FPHUB
SEP0197,01/24/2014 06:42:07,,AVS D
SEP0198,01/24/2014 06:42:09,,FLAUB
SEP0199,01/24/2014 06:42:13,,AVS D
SEP0200,01/24/2014 06:42:15,,RLBUB
SEP0201,01/24/2014 06:42:16,,HH
SEP0202,01/24/2014 06:42:32,,AVS D
SEP0203,01/24/2014 06:42:49,,AVS D
SEP0204,01/24/2014 06:42:53,,YFIBK
SEP0205,01/24/2014 06:42:54,,X
SEP0206,01/24/2014 06:43:38,,SAS
SEP0207,01/24/2014 06:43:44,,SAS
SEP0208,01/24/2014 06:43:50,,SAZ
SEP0209,01/24/2014 06:43:56,,OVP
SEP0210,01/24/2014 06:43:57,,IVP
SEP0211,01/24/2014 06:44:00,,OVP
SEP0212,01/24/2014 06:44:10,,IVP
SEP0213,01/24/2014 06:44:22,,FAADP
SEP0214,01/24/2014 06:44:24,,RLDP
SEP0215,01/24/2014 06:44:26,,HS B
SEP0216,01/24/2014 06:44:28,,RLADP
SEP0217,01/24/2014 06:44:43,,HC B
SEP0218,01/24/2014 06:44:50,,FLBDP
SEP0219,01/24/2014 06:44:52,,OVP
SEP0220,01/24/2014 06:44:53,,IVP
SEP0221,01/24/2014 06:45:08,,HS B
SEP0222,01/24/2014 06:45:09,,OVP
SEP0223,01/24/2014 06:45:10,,SUR
SEP0224,01/24/2014 06:45:16,,C POOP
SEP0225,01/24/2014 06:45:24,,YWW
SEP0226,01/24/2014 06:45:25,,X
SEP0227,01/24/2014 06:45:42,,HS BKBK
SEP0228,01/24/2014 06:46:15,,HC BBBB
SEP0229,01/24/2014 06:46:17,,RAADP
SEP0230,01/24/2014 06:46:44,,AVS D
SEP0231,01/24/2014 06:46:47,,HC BB
SEP0232,01/24/2014 06:46:48,,RLADP
SEP0233,01/24/2014 06:46:53,,HC BBD
SEP0234,01/24/2014 06:47:00,,OVP
SEP0235,01/24/2014 06:47:02,,IVP
SEP0236,01/24/2014 06:47:04,,AVS D
SEP0237,01/24/2014 06:47:18,,FAADP
SEP0238,01/24/2014 06:47:20,,FCIDP SK
SEP0239,01/24/2014 06:47:21,,FVTDP
SEP0240,01/24/2014 06:47:26,,HS B
SEP0241,01/24/2014 06:47:28,,RLADP
SEP0242,01/24/2014 06:47:29,,HC D
SEP0243,01/24/2014 06:47:34,,SAS
SEP0244,01/24/2014 06:47:41,,FAADP
SEP0245,01/24/2014 06:47:45,,OVP
SEP0246,01/24/2014 06:47:45,,RLADP
SEP0247,01/24/2014 06:47:48,,FAADP
SEP0248,01/24/2014 06:47:49,,RLADP
SEP0249,01/24/2014 06:47:53,,YWS
SEP0250,01/24/2014 06:47:54,,XBBDP
SEP0251,01/24/2014 06:48:04,,IVP
SEP0252,01/24/2014 06:48:05,,SAS
SEP0253,01/24/2014 06:48:06,,FAADP
SEP0254,01/24/2014 06:48:11,,FVTDP
SEP0255,01/24/2014 06:48:11,,RFTDP
SEP0256,01/24/2014 06:48:12,,RFSDP
SEP0257,01/24/2014 06:48:29,,RFTDP
SEP0258,01/24/2014 06:48:30,,FMIDP
SEP0259,01/24/2014 06:48:42,,FLADP
SEP0260,01/24/2014 06:48:48,,HS B
SEP0261,01/24/2014 06:48:48,,SAS
SEP0262,01/24/2014 06:48:54,,SAS
SEP0263,01/24/2014 06:49:01,,RLBDP
SEP0264,01/24/2014 06:49:32,,SPX STICK
SEP0265,01/24/2014 06:49:49,,SAS
SEP0266,01/24/2014 06:49:59,,CZ VULTURE
SEP0267,01/24/2014 06:50:24,,YWP
SEP0268,01/24/2014 06:51:09,,XCCON
SEP0269,01/24/2014 06:51:22,,AVSMR
SEP0270,01/24/2014 06:51:50,,RAAON
SEP0271,01/24/2014 06:51:51,x,RMMON
SEP0272,01/24/2014 06:51:58,,RMOON
SEP0273,01/24/2014 06:52:01,,RLAON
SEP0274,01/24/2014 06:52:07,,SAS
SEP0275,01/24/2014 06:52:08,,RLBMR
SEP0276,01/24/2014 06:52:15,,SAS
SEP0277,01/24/2014 06:52:22,,SAM
SEP0278,01/24/2014 06:52:24,,RAAON
SEP0279,01/24/2014 06:52:26,,RMION
SEP0280,01/24/2014 06:52:49,,AVY D
SEP0281,01/24/2014 06:52:51,,YSM
SEP0282,01/24/2014 06:52:52,,XHHON
SEP0283,01/24/2014 06:53:20,,RMOON
SEP0284,01/24/2014 06:53:26,,FMION
SEP0285,01/24/2014 06:53:27,,RMMON
SEP0286,01/24/2014 06:53:43,,RMOON
SEP0287,01/24/2014 06:53:48,,RMMON
SEP0288,01/24/2014 06:53:56,,C ON HOLDS HAND OF WH
SEP0289,01/24/2014 06:53:57,,RFION
SEP0290,01/24/2014 06:54:04,x,RFHON
SEP0291,01/24/2014 06:54:07,,RFION
SEP0292,01/24/2014 06:54:12,,RMOON
SEP0293,01/24/2014 06:54:14,,SAS
SEP0294,01/24/2014 06:54:18,,RFHON
SEP0295,01/24/2014 06:54:24,,HS 
SEP0296,01/24/2014 06:54:36,,RLAON
SEP0297,01/24/2014 06:54:39,,SAS
SEP0298,01/24/2014 06:55:21,,HC B
SEP0299,01/24/2014 06:55:24,,YWM
SEP0300,01/24/2014 06:55:26,,XBBON
SEP0301,01/24/2014 06:55:49,,XCCTJ
SEP0302,01/24/2014 06:55:51,,SPX
SEP0303,01/24/2014 06:56:00,,AVB D
SEP0304,01/24/2014 06:56:04,,CZ VULTURE
SEP0305,01/24/2014 06:56:09,,HS B
SEP0306,01/24/2014 06:56:32,,HFXF B
SEP0307,01/24/2014 06:56:43,,CF PODS ON VINE NOT NORMALLY EATEN
SEP0308,01/24/2014 06:57:06,,HC BBID
SEP0309,01/24/2014 06:57:51,,HFXF BBBB
SEP0310,01/24/2014 06:57:53,,YFFXF
SEP0311,01/24/2014 06:57:57,,XCCOPFN
SEP0312,01/24/2014 06:58:51,,HC BBBBB
SEP0313,01/24/2014 06:59:14,,HFXF BB
SEP0314,01/24/2014 06:59:17,,RABFN
SEP0315,01/24/2014 06:59:40,,HC B
SEP0316,01/24/2014 07:00:14,,HFXF BBBBB
SEP0317,01/24/2014 07:00:20,,HFXF BB
SEP0318,01/24/2014 07:00:22,,YFFXF
SEP0319,01/24/2014 07:00:24,,XBBFN
SEP0320,01/24/2014 07:00:27,,XCCOPUB
SEP0321,01/24/2014 07:00:31,,HL
SEP0322,01/24/2014 07:00:35,,AVSVV
SEP0323,01/24/2014 07:01:04,,FLBFN
SEP0324,01/24/2014 07:01:24,,OVP
SEP0325,01/24/2014 07:01:28,,IVP
SEP0326,01/24/2014 07:01:47,,HS B
SEP0327,01/24/2014 07:01:47,,AHOVROPVD
SEP0328,01/24/2014 07:01:49,,AESOP D
SEP0329,01/24/2014 07:02:35,,HS
SEP0330,01/24/2014 07:02:52,,YFISK
SEP0331,01/24/2014 07:03:04,,XCCXJ
SEP0332,01/24/2014 07:03:25,,HS 
SEP0333,01/24/2014 07:03:33,,HS B
